name,year,rating,votes
The Shawshank Redemption,1994,9.2,2015623
The Godfather,1972,9.2,1381071
The Godfather: Part II,1974,9.0,956342
The Dark Knight,2008,9.0,1983931
12 Angry Men,1957,8.9,565164
Schindler's List,1993,8.9,1040456
The Lord of the Rings: The Return of the King,2003,8.9,1434646
Pulp Fiction,1994,8.9,1573384
"The Good, the Bad and the Ugly",1966,8.8,597325
Fight Club,1999,8.8,1612556
The Lord of the Rings: The Fellowship of the Ring,2001,8.8,1451256
Forrest Gump,1994,8.7,1535676
Star Wars: Episode V - The Empire Strikes Back,1980,8.7,1012023
Inception,2010,8.7,1763828
The Lord of the Rings: The Two Towers,2002,8.7,1296865
One Flew Over the Cuckoo's Nest,1975,8.7,800526
Goodfellas,1990,8.7,868555
The Matrix,1999,8.6,1445995
Seven Samurai,1954,8.6,272811
City of God,2002,8.6,622595
Se7en,1995,8.6,1231983
Star Wars: Episode IV - A New Hope,1977,8.6,1082220
The Silence of the Lambs,1991,8.6,1081543
It's a Wonderful Life,1946,8.6,338470
Life Is Beautiful,1997,8.6,526783
The Usual Suspects,1995,8.5,874605
Spirited Away,2001,8.5,530283
Saving Private Ryan,1998,8.5,1062448
Léon: The Professional,1994,8.5,884067
The Green Mile,1999,8.5,965094
Interstellar,2014,8.5,1226656
Psycho,1960,8.5,514234
American History X,1998,8.5,918984
City Lights,1931,8.5,139239
Once Upon a Time in the West,1968,8.5,261030
Casablanca,1942,8.5,459234
Modern Times,1936,8.5,180968
The Intouchables,2011,8.5,642133
The Pianist,2002,8.5,612136
The Departed,2006,8.5,1036102
Terminator 2: Judgment Day,1991,8.5,874063
Back to the Future,1985,8.5,892880
Whiplash,2014,8.5,578841
Rear Window,1954,8.5,382840
Raiders of the Lost Ark,1981,8.5,780155
Gladiator,2000,8.5,1164934
The Lion King,1994,8.5,794514
The Prestige,2006,8.5,1024395
Apocalypse Now,1979,8.4,528399
Memento,2000,8.4,998862
Alien,1979,8.4,687468
Avengers: Infinity War,2018,8.4,521428
The Great Dictator,1940,8.4,172420
Cinema Paradiso,1988,8.4,191761
Grave of the Fireflies,1988,8.4,184975
Sunset Blvd.,1950,8.4,171660
The Lives of Others,2006,8.4,310794
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,8.4,402159
Paths of Glory,1957,8.4,149216
The Shining,1980,8.4,746846
Django Unchained,2012,8.4,1162018
WALL·E,2008,8.4,870804
Princess Mononoke,1997,8.4,281135
Witness for the Prosecution,1957,8.4,86390
American Beauty,1999,8.4,961060
The Dark Knight Rises,2012,8.4,1340529
Oldeuboi,2003,8.3,439620
Aliens,1986,8.3,581163
Coco,2017,8.3,233540
Once Upon a Time in America,1984,8.3,266038
Das Boot,1981,8.3,201140
Citizen Kane,1941,8.3,351843
Braveheart,1995,8.3,865812
Vertigo,1958,8.3,307158
North by Northwest,1959,8.3,261954
Reservoir Dogs,1992,8.3,792691
Star Wars: Episode VI - Return of the Jedi,1983,8.3,830576
M,1931,8.3,122109
Your Name.,2016,8.3,112902
Dangal,2016,8.3,108299
Requiem for a Dream,2000,8.3,677478
Amadeus,1984,8.3,324725
Taare Zameen Par,2007,8.3,131730
